tm_player_id,gsis_player_id,elias_player_id,nfl_player_id,tm_full_name,tm_position,elias_team_id,tm_team_abbrev,tm_season_year,tm_height,tm_weight,tm_dob,tm_age_sep1,tm_college,tm_college_conf,tm_experience,tm_jersey_number,tm_draft_round,tm_draft_num_in_round,tm_draft_number_overall,tm_draft_team,tm_draft_year,tm_40_time,tm_bench_reps,tm_broad_jump,tm_20_shuttle,tm_3_cone,tm_arm_length,tm_hand_span,tm_vert_jump,tm_wing_span,tm_athlete_score,tm_combine_score,tm_size_score,tm_production_score,tm_proday_dash40,tm_proday_3cone,tm_proday_bench,tm_proday_long_jump,tm_proday_ss20,tm_proday_vert
39232,00-0039232,WIG187116,,Nate Wiggins,CB,325,BAL,2025,73,182,2003-08-28,22.011,Clemson,Atlantic Coast Conference,2,2,1,Undrafted,30.0,BAL,2024,4.28,,127.0,,,30.5,9.0,36.0,74.25,70.5,79.0,,75.8,,,,,,
39233,00-0039233,ROS412039,,Roger Rosengarten,OL,325,BAL,2025,77,316,2002-06-03,23.246,Washington,Pacific Twelve Conference,2,70,2,Undrafted,62.0,BAL,2024,4.92,,113.0,4.6,,33.5,9.625,30.0,80.375,80.7,72.7,,68.5,,,20.0,,4.75,
39234,00-0039234,TAM523098,,T.J. Tampa,CB,325,BAL,2025,73,199,2002-03-13,23.471,Iowa State,Big Twelve Conference,2,27,4,Undrafted,130.0,BAL,2024,,,,,,32.125,9.625,,78.625,60.4,74.3,,77.4,4.59,6.97,,,4.07,
39309,00-0039309,MUR526628,,Byron Murphy II,DT,4600,SEA,2025,72,306,2002-09-08,22.981,Texas,Big Twelve Conference,2,91,1,Undrafted,16.0,SEA,2024,4.87,28.0,111.0,,,32.375,10.25,33.0,77.125,86.4,83.7,,81.9,,7.5,,,4.5,
39349,00-0039349,GLA761060,,DJ Glaze,OL,2520,LV,2025,76,331,2002-08-04,23.077,Maryland,Big Ten Conference,2,71,3,Undrafted,77.0,LV,2024,5.21,29.0,104.0,,,34.875,10.25,25.5,82.75,71.7,69.0,,64.3,,8.15,,,4.83,
39351,00-0039351,PUN141154,,Dominick Puni,OT,4500,SF,2025,77,313,2000-02-24,25.517,Kansas,Big Twelve Conference,2,77,3,Undrafted,86.0,SF,2024,5.35,,107.0,4.4,7.47,33.375,10.125,30.0,81.125,73.5,74.3,,74.2,,,26.0,107.0,,
39352,00-0039352,LIU098197,,Marist Liufau,LB,1200,DAL,2025,74,239,2001-02-09,24.559,Notre Dame,Independent,2,35,3,Undrafted,87.0,DAL,2024,4.64,,,,,34.25,9.875,,79.375,67.2,69.7,,64.2,,7.16,16.0,108.0,4.27,30.0
39353,00-0039353,JON448826,,Jarrian Jones,CB,2250,JAX,2025,71,190,2001-05-08,24.318,Florida State,Atlantic Coast Conference,2,22,3,Undrafted,96.0,JAX,2024,4.38,,129.0,,,30.0,8.625,39.5,73.25,82.6,70.1,,59.4,,,,,4.3,
39358,00-0039358,MCC592977,,Mason McCormick,OL,3900,PIT,2025,77,315,2000-05-25,25.268,South Dakota State,Missouri Valley Football Conference,2,66,4,Undrafted,119.0,PIT,2024,5.08,,117.0,4.45,7.59,33.875,10.0,35.5,81.625,87.8,79.7,,79.5,,,32.0,,,
39368,00-0039368,MAG257251,,Jordan Magee,LB,5110,WAS,2025,75,226,2001-03-24,24.441,Temple,American Athletic Conference,2,58,5,Undrafted,139.0,WAS,2024,4.55,,124.0,,,32.0,8.75,35.5,76.0,83.4,76.3,,68.5,,6.9,,,4.16,
