tm_player_id,gsis_player_id,elias_player_id,nfl_player_id,tm_full_name,tm_position,elias_team_id,tm_team_abbrev,tm_season_year,tm_height,tm_weight,tm_dob,tm_age_sep1,tm_college,tm_college_conf,tm_experience,tm_jersey_number,tm_draft_round,tm_draft_num_in_round,tm_draft_number_overall,tm_draft_team,tm_draft_year,tm_40_time,tm_bench_reps,tm_broad_jump,tm_20_shuttle,tm_3_cone,tm_arm_length,tm_hand_span,tm_vert_jump,tm_wing_span,tm_athlete_score,tm_combine_score,tm_size_score,tm_production_score,tm_proday_dash40,tm_proday_3cone,tm_proday_bench,tm_proday_long_jump,tm_proday_ss20,tm_proday_vert
40013,00-0040013,MON125860,,Smael Mondon Jr.,LB,3700,PHI,2025,74,225,2003-02-13,22.548,Georgia,Southeastern Conference,1,42,5,Undrafted,161.0,PHI,2025,4.58,,130.0,,,31.75,9.75,,80.125,81.9,73.8,,67.2,,,25.0,,,
40072,00-0040072,BAS574230,,Jeffrey Bassa,LB,2310,KC,2025,74,235,2002-09-20,22.948,Oregon,Big Ten Conference,1,31,5,Undrafted,156.0,KC,2025,4.63,21.0,118.0,,7.34,31.375,9.25,38.5,78.75,72.1,71.8,,62.8,4.62,,,,,
40075,00-0040075,WES648867,,LaJohntay Wester,WR,325,BAL,2025,69,170,2002-03-29,23.427,Colorado,Big Twelve Conference,1,83,6,Undrafted,203.0,BAL,2025,4.46,,121.0,,,29.75,8.625,32.0,72.625,63.2,59.6,,65.0,,,,,,
40078,00-0040078,SMI082538,,Brashard Smith,RB,2310,KC,2025,70,196,2003-04-11,22.392,SMU,Atlantic Coast Conference,1,24,7,Undrafted,228.0,KC,2025,4.39,,117.0,,,30.5,8.75,32.5,74.0,75.9,74.4,,78.9,,,,,4.28,
40123,00-0040123,MEM207645,,Armand Membou,OT,3430,NYJ,2025,76,332,2004-03-27,21.43,Missouri,Southeastern Conference,1,70,1,Undrafted,7.0,NYJ,2025,4.91,31.0,115.0,,,33.5,9.75,34.0,82.0,95.8,88.3,,83.3,,,,,,
40124,00-0040124,MCM514957,,Tetairoa McMillan,WR,750,CAR,2025,77,212,2003-04-05,22.408,Arizona,Big Twelve Conference,1,4,1,Undrafted,8.0,CAR,2025,,,,,,31.5,10.0,,77.875,74.0,87.0,,88.5,4.53,,,,,
40125,00-0040125,BAN673432,,Kelvin Banks Jr.,OT,3300,NO,2025,77,315,2004-03-10,21.476,Texas,Southeastern Conference,1,71,1,Undrafted,9.0,NO,2025,5.16,,104.0,4.66,7.81,33.5,10.375,32.0,84.375,78.7,83.7,,83.0,,,,,,
40127,00-0040127,GRA450451,,Kenneth Grant,DT,2700,MIA,2025,75,335,2003-10-27,21.847,Michigan,Big Ten Conference,1,90,1,Undrafted,13.0,MIA,2025,,22.0,,,,33.5,10.125,,82.625,65.8,74.7,,78.3,5.13,7.69,27.0,105.0,4.76,31.0
40128,00-0040128,WAR717637,,Tyler Warren,TE,2200,IND,2025,78,256,2002-05-24,23.274,Penn State,Big Ten Conference,1,84,1,Undrafted,14.0,IND,2025,,,,,,31.75,9.5,,76.5,67.9,84.4,,86.6,,,,,,
40129,00-0040129,EGB519113,,Emeka Egbuka,WR,4900,TB,2025,73,205,2002-10-14,22.882,Ohio State,Big Ten Conference,1,2,1,Undrafted,19.0,TB,2025,,,,,,31.5,9.625,,76.625,84.8,86.0,,81.9,4.48,,,,4.12,38.0
40130,00-0040130,HIG228409,,Jayden Higgins,WR,2120,HOU,2025,76,215,2002-12-15,22.713,Iowa State,Big Twelve Conference,1,81,2,Undrafted,34.0,HOU,2025,4.47,,128.0,,,33.125,9.125,39.0,80.0,81.9,82.0,,80.1,,7.05,16.0,,4.28,
40131,00-0040131,WIL415226,,Kyle Williams,WR,3200,NE,2025,71,190,2002-11-13,22.8,Washington State,Pacific Twelve Conference,1,18,3,Undrafted,69.0,NE,2025,4.4,,119.0,,,30.125,8.75,36.5,73.0,76.7,76.5,,77.4,,,,,,
40137,00-0040137,BUR025953,,Jordan Burch,LB,3800,ARI,2025,76,279,2001-10-10,23.893,Oregon,Big Ten Conference,1,52,3,Undrafted,78.0,ARI,2025,4.67,,,,,33.0,9.5,,79.375,78.2,75.1,,70.7,,,22.0,,,
40138,00-0040138,NOE378255,,Jaylin Noel,WR,2120,HOU,2025,71,200,2002-09-04,22.992,Iowa State,Big Twelve Conference,1,14,3,Undrafted,79.0,HOU,2025,4.39,23.0,134.0,4.17,6.82,29.5,8.75,41.5,73.75,93.4,80.7,,69.9,,,,,,
40143,00-0040143,PAR674843,,Jacob Parrish,CB,4900,TB,2025,70,198,2004-02-29,21.504,Kansas State,Big Twelve Conference,1,25,3,Undrafted,84.0,TB,2025,4.35,12.0,129.0,,,30.875,9.0,37.5,75.875,90.5,77.0,,68.2,,,16.0,,,
