Rank,playerId,gsisPlayerId,league,playerImageId,headshotUrl,player,playerFullName,position,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamImageId,currentNFLTeamId,currentNFLTeamAbbrev,currentNFLTeamName,currentNFLStatus,lastNFLTeamId,lastNFLTeamAbbrev,lastNFLTeamName,lastNFLTeamLocation,lastNFLTeamFullName,inFBS,inFCS,activeFBSTeam,activeFCSTeam,teamColor,gameConference,College,pro_day_40,pro_day_10_split,pro_day_3_cone,pro_day_vertical,pro_day_broad,pro_day_bench,combine_40,combine_10_split,combine_3_cone,combine_vertical,combine_broad,combine_bench,height,weight,hand_size,wing_span,arm_length,CmbnScr,AthleteScr,ProdScr,SizeScr,G,null
1,22942,00-0022942,NFL,RIV651634,https://static.www.nfl.com/image/private/{formatInstructions}/league/voakyrtj34sghkwxaxxf,Philip Rivers,Philip Rivers,QB,Indianapolis Colts,IND,2200,2200,2200,IND,Colts,ACT,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,N.C. State,-,-,,,,,5.08,-,-,-,,,77,228,9.250,,32.125,78.3,54.4,91.5,78.1,247,
1,27609,00-0027609,NFL,WEB210365,https://static.www.nfl.com/image/private/{formatInstructions}/league/grxtu7vkii9lo41up04q,J'Marcus Webb,J'Marcus Webb,T,Indianapolis Colts,IND,2200,2200,,,,NOR,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,West Texas State,-,-,,,,,-,-,-,-,,,79,320,-,,-,-,-,-,-,96,
1,27674,00-0027674,NFL,VEL116302,https://static.www.nfl.com/image/private/{formatInstructions}/league/q7ees8sofhe8gg3isgjt,Jared Veldheer,Jared Veldheer,T,Indianapolis Colts,IND,2200,2200,,,,NOR,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,Hillsdale,-,-,,,,,5.06,1.73,7.40,33.5,109,32,80,321,10.000,,33.000,78.0,87.7,69.6,80.8,121,
1,27691,00-0027691,NFL,ROB102317,https://static.www.nfl.com/image/private/{formatInstructions}/league/hjoyjewh7knoafxt4k93,Andre Roberts,Andre Roberts,WR,Carolina Panthers,CAR,750,750,,,,NOR,750,CAR,Panthers,Carolina,Carolina Panthers,,,,,#0085CF,NFC,The Citadel,-,-,,,,,4.40,1.59,6.77,36.0,120,15,71,195,9.500,,31.500,72.3,71.3,66.4,72.9,182,
1,27881,00-0027881,NFL,HUG532081,https://static.www.nfl.com/image/upload/{formatInstructions}/league/holacsltnj1mvxkeqgp0,Jerry Hughes,Jerry Hughes,DE,Houston Texans,HOU,2120,2120,,,,NOR,2120,HOU,Texans,Houston,Houston Texans,,,,,#021018,AFC,TCU,-,-,,,,,4.65,1.67,6.99,34.5,118,26,74,254,9.750,,33.000,84.0,82.4,84.0,63.3,225,
1,27960,00-0027960,NFL,CAS792239,https://static.www.nfl.com/image/private/{formatInstructions}/league/rpvpwfga4faox3xntek1,Anthony Castonzo,Anthony Castonzo,T,Indianapolis Colts,IND,2200,2200,,,,NOR,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,Boston College,-,-,,,,,5.21,1.82,7.25,29.5,105,28,79,307,10.625,81.25,34.500,86.7,80.8,86.0,85.9,144,
1,28008,00-0028008,NFL,HOU476949,https://static.www.nfl.com/image/upload/{formatInstructions}/league/uvob2wz6eezshbjclcya,Justin Houston,Justin Houston,OLB,Carolina Panthers,CAR,750,750,,,,NOR,2700,MIA,Dolphins,Miami,Miami Dolphins,,,,,#0085CF,NFC,Georgia,-,-,,,,,4.62,1.66,6.95,36.5,125,30,75,270,10.875,81.625,34.500,77.7,81.1,77.6,76.9,170,
1,28063,00-0028063,NFL,JON731670,https://static.www.nfl.com/image/private/{formatInstructions}/league/va09vgfr7bdc2wb6ikq4,Taiwan Jones,Taiwan Jones,RB,New York Giants,NYG,3410,3410,,,,NOR,3410,NYG,Giants,New York,New York Giants,,,,,#0B2265,NFC,Eastern Washington,4.33,1.58,6.9,39.5,132,,4.33,-,-,-,,13,72,195,8.750,71.75,29.500,75.4,85.3,63.5,70.2,139,
1,28097,00-0028097,NFL,SMI480240,https://static.www.nfl.com/image/private/{formatInstructions}/league/gcaqwhzrinlqicrljwlr,Lee Smith,Lee Smith,TE,Atlanta Falcons,ATL,200,200,,,,NOR,200,ATL,Falcons,Atlanta,Atlanta Falcons,,,,,#A71930,NFC,Marshall,-,-,,,,,4.94,1.76,7.13,29.0,108,25,78,265,9.750,79.75,34.375,63.6,60.8,61.3,86.7,149,
1,28339,00-0028339,NFL,ADD494264,https://static.www.nfl.com/image/private/{formatInstructions}/league/bapzewurohnyaqq1p3ud,Mario Addison,Mario Addison,DE,Houston Texans,HOU,2120,2120,,,,NOR,2120,HOU,Texans,Houston,Houston Texans,,,,,#021018,AFC,Troy,-,-,,,,,-,-,-,-,,,75,260,-,,-,-,-,-,-,170,
1,29000,00-0029000,NFL,BEA434808,https://static.www.nfl.com/image/private/{formatInstructions}/league/y5r0fhwctl6ljwvmktvu,Cole Beasley,Cole Beasley,WR,New York Giants,NYG,3410,3410,,,,NOR,3410,NYG,Giants,New York,New York Giants,,,,,#0B2265,NFC,SMU,-,-,,,,,-,-,-,-,,,68,174,-,,-,-,-,-,-,153,
1,29285,00-0029285,NFL,NOR291905,https://static.www.nfl.com/image/private/{formatInstructions}/league/i2bihsraophhbhvhhypb,Josh Norman,Josh Norman,CB,Buffalo Bills,BUF,610,610,,,,NOR,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,Coastal Carolina,-,-,,,,,5.38,1.59,7.96,27.0,94,14,72,200,9.250,78.5,32.750,59.5,53.3,60.4,81.1,140,
1,29410,00-0029410,NFL,WIL791595,https://static.www.nfl.com/image/private/{formatInstructions}/league/ztnf4vdx2qw6nowvmxy4,Tavon Wilson,Tavon Wilson,DB,San Francisco 49ers,SF,4500,4500,,,,NOR,4500,SF,49ers,San Francisco,San Francisco 49ers,,,,,#AA0000,NFC,Illinois,-,-,,,,,-,-,-,-,,,72,208,-,,-,-,-,-,-,133,
1,29608,00-0029608,NFL,HIL775449,https://static.www.nfl.com/image/private/{formatInstructions}/league/b8kor0sgeynyd8u8cush,T.Y. Hilton,T.Y. Hilton,WR,Dallas Cowboys,DAL,1200,1200,,,,NOR,1200,DAL,Cowboys,Dallas,Dallas Cowboys,,,,,#002244,NFC,Florida International,4.34,1.53,7.03,35.5,119,7,4.34,-,-,-,,,70,183,8.500,73.125,32.000,76.4,78.9,74.1,65.4,146,
1,29709,00-0029709,NFL,NSE355964,https://static.www.nfl.com/image/upload/{formatInstructions}/league/dk5zezr11uc2gvvk8wmu,Ty Nsekhe,Ty Nsekhe,T,Los Angeles Rams,LA,2510,2510,,,,NOR,2510,LA,Rams,Los Angeles,Los Angeles Rams,,,,,#003594,NFC,Texas State-San Marcos,-,-,,,,,-,-,-,-,,,80,330,-,,-,-,-,-,-,105,
1,30011,00-0030011,NFL,DEV185707,https://static.www.nfl.com/image/private/{formatInstructions}/league/vxormuuwo9rey8mcxivp,Jordan Devey,Jordan Devey,C,Buffalo Bills,BUF,610,610,,,,NOR,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,Memphis,-,-,,,,,5.25,1.85,7.91,24.0,98,21,78,320,9.625,78.5,32.750,57.3,60.2,54.7,83.1,44,
1,30066,00-0030066,NFL,WIN742785,https://static.www.nfl.com/image/private/{formatInstructions}/league/usbhho5ygjixpjdocdtn,Brian Winters,Brian Winters,G,Arizona Cardinals,ARI,3800,3800,,,,NOR,3800,ARI,Cardinals,Arizona,Arizona Cardinals,,,,,#97233F,NFC,Kent State,-,-,,,,,5.22,-,-,-,,9,76,320,9.750,77.25,32.750,68.7,55.8,68.1,77.0,107,
1,30085,00-0030085,NFL,STI417540,https://static.www.nfl.com/image/private/{formatInstructions}/league/wswn6tehkzj8mdfbablx,Kenny Stills,Kenny Stills,WR,New Orleans Saints,NO,3300,3300,,,,NOR,3300,NO,Saints,New Orleans,New Orleans Saints,,,,,#000000,NFC,Oklahoma,-,-,,,,,4.38,1.54,-,33.5,124,16,73,202,9.000,73,30.500,73.9,76.0,74.8,70.3,130,
1,30090,00-0030090,NFL,HYD422041,https://static.www.nfl.com/image/private/{formatInstructions}/league/xxdwo2ndjc4qm9q5lpgx,Micah Hyde,Micah Hyde,FS,Buffalo Bills,BUF,610,610,,,,NOR,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,Iowa,-,-,,,,,4.56,1.65,6.78,33.0,121,12,72,197,9.375,74.875,31.500,71.0,67.8,69.9,70.5,158,
1,30114,00-0030114,NFL,POY177981,https://static.www.nfl.com/image/upload/{formatInstructions}/league/jv5ibhkljw1u9knlwqzy,Jordan Poyer,Jordan Poyer,FS,Buffalo Bills,BUF,610,610,610,BUF,Bills,ACT,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,Oregon State,-,-,,,,,4.54,1.51,6.87,30.5,118,8,72,191,9.750,74.125,31.750,69.1,62.3,72.3,68.0,181,
1,30181,00-0030181,NFL,DOY403968,https://static.www.nfl.com/image/private/{formatInstructions}/league/h6abyvmg2g93llboizi6,Jack Doyle,Jack Doyle,TE,Indianapolis Colts,IND,2200,2200,,,,NOR,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,Western Kentucky,-,-,,,,,4.95,-,-,-,,,78,262,-,,-,-,-,-,-,131,
1,30455,00-0030455,NFL,LOT652596,https://static.www.nfl.com/image/private/{formatInstructions}/league/aa76o5lnybfm9chig7g5,Star Lotulelei,Star Lotulelei,DT,Buffalo Bills,BUF,610,610,,,,NOR,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,Utah,5.41,1.89,7.79,30,105,38,5.14,-,-,-,,,74,315,9.750,78.375,33.625,74.9,63.1,73.0,75.8,119,
1,30463,00-0030463,NFL,KLE216860,https://static.www.nfl.com/image/private/{formatInstructions}/league/ohrm5k7zku2mc5alnmz4,A.J. Klein,A.J. Klein,OLB,Buffalo Bills,BUF,610,610,,,,NOR,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,Iowa State,-,-,,,,,4.66,1.60,-,-,113,20,73,240,10.250,77.75,32.875,73.5,76.4,67.0,80.9,146,
1,30533,00-0030533,NFL,BAR192558,https://static.www.nfl.com/image/private/{formatInstructions}/league/ejvscebj0ufugx5vrouq,Matt Barkley,Matt Barkley,QB,Jacksonville Jaguars,JAX,2250,2250,,,,NOR,2250,JAX,Jaguars,Jacksonville,Jacksonville Jaguars,,,,,#000000,AFC,USC,4.90,1.75,,,,,4.91,-,-,-,,,74,234,10.125,75.25,30.625,68.5,58.4,69.1,79.2,20,
1,30575,00-0030575,NFL,RHO552860,https://static.www.nfl.com/image/private/{formatInstructions}/league/vj7ythe0bue256xfeyhl,Xavier Rhodes,Xavier Rhodes,CB,Dallas Cowboys,DAL,1200,1200,,,,NOR,1200,DAL,Cowboys,Dallas,Dallas Cowboys,,,,,#002244,NFC,Florida State,-,-,,,,,4.43,1.58,-,40.5,132,14,73,210,9.000,79.125,33.750,82.7,80.9,81.7,91.8,135,
1,30649,00-0030649,NFL,HAR601814,https://static.www.nfl.com/image/private/{formatInstructions}/league/hmabjcv2hkiwlqzmgx3c,Jonotthan Harrison,Jonotthan Harrison,C,Miami Dolphins,MIA,2700,2700,,,,NOR,2700,MIA,Dolphins,Miami,Miami Dolphins,,,,,#008E97,AFC,Florida,-,-,,,,,4.47,1.83,7.97,31.0,123,27,76,300,9.875,80.625,33.375,57.4,59.5,54.7,75.1,86,
1,30710,00-0030710,NFL,BUR817654,https://static.www.nfl.com/image/private/{formatInstructions}/league/vt2ce0szit4ozyh5s5iw,Trey Burton,Trey Burton,TE,Indianapolis Colts,IND,2200,2200,,,,NOR,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,Florida,-,-,,,,,4.50,-,7.26,33.0,,,74,238,9.375,74,31.000,-,-,-,-,98,
1,31051,00-0031051,NFL,BRO494712,https://static.www.nfl.com/image/private/{formatInstructions}/league/xwyc2a0qfdxbbct6lso6,John Brown,John Brown,WR,Buffalo Bills,BUF,610,610,,,,NOR,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,Pittsburg State (KS),-,-,,,,,4.34,1.56,6.91,36.5,119,,70,178,8.500,72.625,30.500,68.9,84.8,55.5,62.5,103,
1,31254,00-0031254,NFL,AUT529722,https://static.www.nfl.com/image/upload/{formatInstructions}/league/avrrswmjrzes0ggi3bsg,Denico Autry,Denico Autry,DT,Houston Texans,HOU,2120,2120,2120,HOU,Texans,ACT,2120,HOU,Texans,Houston,Houston Texans,,,,,#021018,AFC,Mississippi State,-,-,,,,,5.05,-,-,34.5,103,,77,285,-,,-,-,-,-,-,164,
1,31269,00-0031269,NFL,CAR470432,https://static.www.nfl.com/image/private/{formatInstructions}/league/kezxowzth44qm6wo1fgt,T.J. Carrie,T.J. Carrie,DB,Carolina Panthers,CAR,750,750,,,,NOR,750,CAR,Panthers,Carolina,Carolina Panthers,,,,,#0085CF,NFC,Ohio,-,-,,,,,4.49,-,-,-,,17,72,205,9.750,77.125,31.875,74.3,80.9,72.6,80.0,125,
1,31300,00-0031300,NFL,MUR524597,https://static.www.nfl.com/image/private/{formatInstructions}/league/jv7f0cna4m0vteutwaml,Trent Murphy,Trent Murphy,DE,Buffalo Bills,BUF,610,610,,,,NOR,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,Stanford,-,-,,,,,4.86,1.68,6.78,35.5,118,19,78,259,11.125,80.375,33.875,80.0,69.4,92.5,75.4,86,
1,31394,00-0031394,NFL,GAI292759,https://static.www.nfl.com/image/private/{formatInstructions}/league/fodg8msxg2boaw03aud0,E.J. Gaines,E.J. Gaines,CB,Buffalo Bills,BUF,610,610,,,,NOR,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,Missouri,-,-,,,,,4.44,-,-,-,,15,70,185,9.375,72.25,30.375,72.4,63.7,78.6,64.9,43,
1,31567,00-0031567,NFL,WIL208701,https://static.www.nfl.com/image/private/{formatInstructions}/league/qmxazajbgoagqzflp7sh,Daryl Williams,Daryl Williams,OT,Buffalo Bills,BUF,610,610,,,,NOR,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,Oklahoma,-,-,,,,,5.34,1.89,-,26.0,97,27,78,330,9.750,82.75,35.000,67.3,62.2,66.7,89.5,89,
1,31581,00-0031581,NFL,GLO738436,https://static.www.nfl.com/image/private/{formatInstructions}/league/ldqr5jlk57a6nrha4u8w,Mark Glowinski,Mark Glowinski,G,Indianapolis Colts,IND,2200,2200,,,,NOR,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,West Virginia,-,-,,,,,5.20,1.83,7.56,29.5,113,31,76,310,9.750,78.75,33.125,73.9,81.8,63.1,76.6,128,
1,31588,00-0031588,NFL,DIG218895,https://static.www.nfl.com/image/upload/{formatInstructions}/league/cemcexmscsarpvwhafln,Stefon Diggs,Stefon Diggs,WR,New England Patriots,NE,3200,3200,3200,NE,Patriots,ACT,3200,NE,Patriots,New England,New England Patriots,,,,,#002244,AFC,Maryland,-,-,,,,,4.46,1.53,7.03,35.0,115,,72,191,10.000,75.75,31.250,81.2,72.3,75.7,76.2,161,
1,31870,00-0031870,NFL,MAR268763,https://static.www.nfl.com/image/private/{formatInstructions}/league/zs2gv5rqyvnaqlwl4yst,Dean Marlowe,Dean Marlowe,SS,Los Angeles Chargers,LAC,4400,4400,,,,NOR,4400,LAC,Chargers,Los Angeles,Los Angeles Chargers,,,,,#0080C6,AFC,James Madison,-,-,,,,,4.48,1.62,7.00,38.5,132,16,73,208,8.750,74.125,31.000,59.9,63.9,54.0,78.6,75,
1,31936,00-0031936,NFL,MOR734298,https://static.www.nfl.com/image/upload/{formatInstructions}/league/rlmszp2z31nrt5zoew30,Mitch Morse,Mitch Morse,C,Jacksonville Jaguars,JAX,2250,2250,,,,NOR,2250,JAX,Jaguars,Jacksonville,Jacksonville Jaguars,,,,,#000000,AFC,Missouri,-,-,,,,,5.14,1.86,7.60,31.0,112,36,78,305,9.250,76.75,32.250,80.9,83.8,74.0,73.0,143,
1,32112,00-0032112,NFL,NEL488051,https://static.www.nfl.com/image/private/{formatInstructions}/league/rdpp1eiaqse92yvujbs0,J.J. Nelson,J.J. Nelson,WR,Indianapolis Colts,IND,2200,2200,,,,NOR,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#013369,AFC,UAB,-,-,,,,,4.28,1.49,7.02,36.0,127,,70,160,8.250,73,31.125,72.8,90.4,60.0,58.8,58,
1,32151,00-0032151,NFL,FEL275082,https://static.www.nfl.com/image/upload/{formatInstructions}/league/mfsf1zkh4exfukfvuwuh,Jon Feliciano,Jon Feliciano,C,San Francisco 49ers,SF,4500,4500,,,,NOR,4500,SF,49ers,San Francisco,San Francisco 49ers,,,,,#AA0000,NFC,Miami,-,-,,,,,5.33,1.93,-,26.5,97,,76,323,9.750,77.875,32.375,60.1,70.3,54.4,77.4,113,
1,32198,00-0032198,NFL,CAM362155,https://static.www.nfl.com/image/private/{formatInstructions}/league/ybhysatv7kuwq1k6gfp1,Ibraheim Campbell,Ibraheim Campbell,DB,Indianapolis Colts,IND,2200,2200,,,,NOR,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,Northwestern,-,-,,,,,4.52,-,-,-,,23,71,210,10.250,74.75,30.375,70.1,65.1,72.8,74.7,60,
1,32204,00-0032204,NFL,GRE118131,https://static.www.nfl.com/image/private/{formatInstructions}/league/stl6h7dpq2wcafcrogwq,Chaz Green,Chaz Green,T,Pittsburgh Steelers,PIT,3900,3900,,,,NOR,3900,PIT,Steelers,Pittsburgh,Pittsburgh Steelers,,,,,#000000,AFC,Florida,-,-,,,,,5.16,1.78,8.00,29.5,106,21,77,318,10.875,81.125,33.375,67.6,72.2,59.1,86.8,39,
1,32209,00-0032209,NFL,YEL060186,https://static.www.nfl.com/image/private/{formatInstructions}/league/ktxkn2ltkmqfb5ugunt4,T.J. Yeldon,T.J. Yeldon,RB,Buffalo Bills,BUF,610,610,,,,NOR,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,Alabama,-,-,,,,,4.61,1.63,7.19,36.0,117,22,73,223,9.000,75.875,31.625,76.2,67.2,75.1,85.4,60,
1,32214,00-0032214,NFL,KRO074538,https://static.www.nfl.com/image/private/{formatInstructions}/league/ztko1uhl01ebiutefibj,Tyler Kroft,Tyler Kroft,TE,Miami Dolphins,MIA,2700,2700,,,,NOR,2700,MIA,Dolphins,Miami,Miami Dolphins,,,,,#008E97,AFC,Rutgers,-,-,,,,,4.75,-,-,-,,17,78,250,9.625,78.875,33.000,70.0,67.6,63.0,75.8,100,
1,32366,00-0032366,NFL,MAT026118,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ug86kkpgmc0c9ntyp5qb,Tyler Matakevich,Tyler Matakevich,MLB,Pittsburgh Steelers,PIT,3900,3900,,,,NOR,3900,PIT,Steelers,Pittsburgh,Pittsburgh Steelers,,,,,#000000,AFC,Temple,-,-,,,,,4.81,1.66,7.19,31.0,112,22,73,235,9.500,76.25,31.250,64.0,55.9,72.0,67.2,140,
1,32378,00-0032378,NFL,BUC768760,https://static.www.nfl.com/image/upload/{formatInstructions}/league/mtyogyexnz2ik3fbs3am,DeForest Buckner,DeForest Buckner,DT,Indianapolis Colts,IND,2200,2200,2200,IND,Colts,RES,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,Oregon,-,-,,,,,5.05,1.77,7.51,32.0,116,,79,295,11.750,82,34.375,91.3,71.8,99.0,85.6,151,
1,32383,00-0032383,NFL,KEL738596,https://static.www.nfl.com/image/upload/{formatInstructions}/league/owzvmhrfz5lfh2rcalxd,Ryan Kelly,Ryan Kelly,C,Minnesota Vikings,MIN,3000,3000,3000,MIN,Vikings,RES,3000,MIN,Vikings,Minnesota,Minnesota Vikings,,,,,#4F2683,NFC,Alabama,-,-,,,,,5.03,1.78,7.58,30.0,103,26,76,307,9.625,80.625,33.625,85.1,80.2,79.4,77.4,129,
1,32416,00-0032416,NFL,JEF350399,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ntbok1dm3de173gjcozk,Quinton Jefferson,Quinton Jefferson,DE,Detroit Lions,DET,1540,1540,1540,DET,Lions,CUT,1540,DET,Lions,Detroit,Detroit Lions,,,,,#0076B6,NFC,Maryland,-,-,,,,,4.95,1.70,7.95,29.0,,24,76,291,8.875,80.625,33.375,64.9,69.3,64.4,73.5,116,
1,32417,00-0032417,NFL,PER227681,https://static.www.nfl.com/image/private/{formatInstructions}/league/bvq9v0mxyltlm9b8lstx,Paul Perkins,Paul Perkins,RB,Indianapolis Colts,IND,2200,2200,,,,NOR,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,UCLA,-,-,,,,,4.54,1.56,-,32.0,124,19,71,213,9.000,75.125,31.625,77.1,70.2,78.5,71.6,29,
1,32443,00-0032443,NFL,HUN273483,https://static.www.nfl.com/image/private/{formatInstructions}/league/mpzyumkr6kqsvzhvbqky,Joey Hunt,Joey Hunt,C,Seattle Seahawks,SEA,4600,4600,,,,NOR,4600,SEA,Seahawks,Seattle,Seattle Seahawks,,,,,#002244,NFC,TCU,-,-,,,,,-,-,-,-,,,74,299,-,,-,-,-,-,-,35,
1,32497,00-0032497,NFL,FER300870,https://static.www.nfl.com/image/upload/{formatInstructions}/league/tarla9ric6f8tijjqrkz,Reid Ferguson,Reid Ferguson,LS,Buffalo Bills,BUF,610,610,610,BUF,Bills,ACT,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,LSU,-,-,,,,,-,-,-,-,,22,74,235,-,,-,-,-,-,-,148,
1,32518,00-0032518,NFL,ZIM077099,https://static.www.nfl.com/image/private/{formatInstructions}/league/xgh3lgbrh0csrfynjpq6,Justin Zimmer,Justin Zimmer,DT,Miami Dolphins,MIA,2700,2700,,,,NOR,2700,MIA,Dolphins,Miami,Miami Dolphins,,,,,#008E97,AFC,Ferris State,-,-,,,,,-,-,-,-,,,75,292,-,,-,-,-,-,-,26,
1,32660,00-0032660,NFL,BRY237018,https://static.www.nfl.com/image/private/{formatInstructions}/league/rksltgairgdkebuo3gvv,Brandin Bryant,Brandin Bryant,DT,Buffalo Bills,BUF,610,610,,,,NOR,3410,NYG,Giants,New York,New York Giants,,,,,#00338D,AFC,Florida Atlantic,-,-,,,,,-,-,-,36.5,120,20,76,294,-,,-,-,-,-,-,11,
1,32735,00-0032735,NFL,THO000001,https://static.www.nfl.com/image/private/{formatInstructions}/league/asegev4q68zjoocg9fyg,Duke Thomas,Duke Thomas,CB,Buffalo Bills,BUF,610,610,,,,NOR,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,Texas,-,-,,,,,-,-,-,-,,,71,184,-,,-,-,-,-,-,0,
1,32753,00-0032753,NFL,RHO474400,https://static.www.nfl.com/image/upload/{formatInstructions}/league/q0ip1kc9iwwveiuefq1x,Luke Rhodes,Luke Rhodes,LS,Indianapolis Colts,IND,2200,2200,2200,IND,Colts,ACT,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,William & Mary,-,-,,,,,5.26,-,7.77,29.5,107,,74,238,-,,-,-,-,-,-,152,
1,32830,00-0032830,NFL,MIL628545,https://static.www.nfl.com/image/private/{formatInstructions}/league/oeocnjnpr5pfug86s0lu,Rolan Milligan,Rolan Milligan,SS,Indianapolis Colts,IND,2200,2200,,,,NOR,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,Toledo,-,-,,,,,4.54,-,-,38.5,125,,70,200,-,,-,-,-,-,-,11,
1,32945,00-0032945,NFL,WIL236356,https://static.www.nfl.com/image/private/{formatInstructions}/league/mex8kxfkvddls48d6j26,Duke Williams,Duke Williams,WR,Buffalo Bills,BUF,610,610,,,,NOR,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,Auburn,-,-,,,,,5.21,1.59,7.71,30.0,106,14,75,225,9.250,78.5,32.500,52.0,51.0,55.0,83.1,5,
1,32967,00-0032967,NFL,BUT599965,https://static.www.nfl.com/image/private/{formatInstructions}/league/spxzurteytkysxgspmze,Vernon Butler,Vernon Butler,DT,New York Giants,NYG,3410,3410,,,,NOR,3410,NYG,Giants,New York,New York Giants,,,,,#0B2265,NFC,Louisiana Tech,-,-,,,,,5.33,1.83,7.82,29.5,104,26,76,330,10.000,83.875,35.000,69.1,58.5,68.6,87.0,77,
1,33065,00-0033065,NFL,CLA432150,https://static.www.nfl.com/image/private/{formatInstructions}/league/lotwkrfevdanwpj6bfff,Le'Raven Clark,Le'Raven Clark,T,Philadelphia Eagles,PHI,3700,3700,,,,NOR,3700,PHI,Eagles,Philadelphia,Philadelphia Eagles,,,,,#004851,NFC,Texas Tech,-,-,,,,,5.16,1.80,-,-,,18,77,311,11.000,85.75,36.125,81.7,70.1,80.1,97.7,64,
1,33119,00-0033119,NFL,BRI516391,https://static.www.nfl.com/image/upload/{formatInstructions}/league/rdxowm5dvpbb8p3aazbc,Jacoby Brissett,Jacoby Brissett,QB,Arizona Cardinals,ARI,3800,3800,3800,ARI,Cardinals,ACT,3800,ARI,Cardinals,Arizona,Arizona Cardinals,,,,,#97233F,NFC,N.C. State,-,-,,,,,4.94,1.69,7.17,31.0,113,,76,235,9.750,79.375,32.250,70.0,62.0,66.8,80.1,100,
1,33147,00-0033147,NFL,LEE144802,https://static.www.nfl.com/image/private/{formatInstructions}/league/twzzigak2f0d6bbgy4cr,Darron Lee,Darron Lee,ILB,Las Vegas Raiders,LV,2520,2520,,,,NOR,2520,LV,Raiders,Las Vegas,Las Vegas Raiders,,,,,#000000,AFC,Ohio State,-,-,,,,,4.47,1.55,7.12,35.5,133,17,73,232,9.750,79.25,33.250,81.4,82.7,77.9,73.4,58,
1,33217,00-0033217,NFL,ALI177980,https://static.www.nfl.com/image/upload/{formatInstructions}/league/qss1euhktuj7qje9heoi,Mo Alie-Cox,Mo Alie-Cox,TE,Indianapolis Colts,IND,2200,2200,2200,IND,Colts,ACT,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,Virginia Commonwealth Univ.,-,-,,,,,4.43,-,-,32.5,126,13,77,267,-,,-,-,-,-,-,125,
1,33245,00-0033245,NFL,ELD550110,https://static.www.nfl.com/image/private/{formatInstructions}/league/w9iycoszneg2j0vhqfq0,Jake Eldrenkamp,Jake Eldrenkamp,G,Houston Texans,HOU,2120,2120,,,,NOR,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#021018,AFC,Washington,-,-,,,,,-,-,-,-,,,77,300,-,,-,-,-,-,-,2,
1,33251,00-0033251,NFL,PAS035497,https://static.www.nfl.com/image/upload/{formatInstructions}/league/jffvw54iwpa3d4imumtc,Zach Pascal,Zach Pascal,WR,Arizona Cardinals,ARI,3800,3800,,,,NOR,3410,NYG,Giants,New York,New York Giants,,,,,#97233F,NFC,Old Dominion,-,-,,,,,4.55,1.58,7.11,31.5,113,14,74,219,10.000,77,32.000,65.3,66.7,70.1,83.5,112,
1,33269,00-0033269,NFL,SAN093508,https://static.www.nfl.com/image/upload/{formatInstructions}/league/io2gctkkefyopm7m7mnj,Rigoberto Sanchez,Rigoberto Sanchez,P,Indianapolis Colts,IND,2200,2200,2200,IND,Colts,ACT,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,Hawaii,-,-,,,,,4.45,-,-,-,,,72,195,-,,-,-,-,-,-,130,
