Rank,playerId,gsisPlayerId,league,playerImageId,headshotUrl,player,playerFullName,position,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamImageId,currentNFLTeamId,currentNFLTeamAbbrev,currentNFLTeamName,currentNFLStatus,lastNFLTeamId,lastNFLTeamAbbrev,lastNFLTeamName,lastNFLTeamLocation,lastNFLTeamFullName,inFBS,inFCS,activeFBSTeam,activeFCSTeam,teamColor,gameConference,College,pro_day_40,pro_day_10_split,pro_day_3_cone,pro_day_vertical,pro_day_broad,pro_day_bench,combine_40,combine_10_split,combine_3_cone,combine_vertical,combine_broad,combine_bench,height,weight,hand_size,wing_span,arm_length,CmbnScr,AthleteScr,ProdScr,SizeScr,G,null
1,22713,00-0022713,NFL,COL084595,https://static.www.nfl.com/image/private/{formatInstructions}/league/ewbxadph1mwrtmordums,Ricardo Colclough,Ricardo Colclough,DB,Kansas City Chiefs,KC,2310,2310,,,,NOR,2310,KC,Chiefs,Kansas City,Kansas City Chiefs,,,,,#E31837,AFC,Tusculum College,-,-,,,,,4.49,1.59,-,39.5,127,8,71,194,9.625,,31.250,76.2,73.4,76.1,71.4,43,
1,22706,00-0022706,NFL,GAI392473,https://static.www.nfl.com/image/private/{formatInstructions}/league/jpmj2ywyeucrsuvkxc8q,Michael Gaines,Michael Gaines,TE,Cleveland Browns,CLE,1050,1050,,,,NOR,1050,CLE,Browns,Cleveland,Cleveland Browns,,,,,#FF3C00,AFC,UCF,-,-,,,,,5.06,1.75,7.44,33.0,109,18,74,267,9.750,,33.250,62.5,60.4,56.8,78.6,83,
1,23518,00-0023518,NFL,HEN601374,https://static.www.nfl.com/image/private/{formatInstructions}/league/sgvk6nbzj7vzn6vfh0xk,Chris Henry,Chris Henry,WR,Cincinnati Bengals,CIN,920,920,,,,NOR,920,CIN,Bengals,Cincinnati,Cincinnati Bengals,,,,,#FB4F14,AFC,West Virginia,-,-,,,,,4.50,1.65,-,-,,,76,200,9.250,,33.625,71.7,58.3,75.9,81.7,55,
1,23561,00-0023561,NFL,PEA296862,https://static.www.nfl.com/image/private/{formatInstructions}/league/wepvsczdcsxmhx8djpzc,Alvin Pearman,Alvin Pearman,RB,Tennessee Titans,TEN,2100,2100,,,,NOR,2100,TEN,Titans,Tennessee,Tennessee Titans,,,,,#002244,AFC,Virginia,-,-,,,,,4.63,1.62,7.06,34.0,114,24,70,204,9.250,,30.375,61.5,56.8,64.4,68.9,38,
1,21997,00-0021997,NFL,WHI156311,https://static.www.nfl.com/image/private/{formatInstructions}/league/rtkoh8crt7wpljmtm0xw,Dewayne White,Dewayne White,DE,Detroit Lions,DET,1540,1540,,,,NOR,1540,DET,Lions,Detroit,Detroit Lions,,,,,#0076B6,NFC,Louisville,-,-,,,,,4.76,1.64,7.22,33.0,112,22,74,273,10.000,,32.000,78.8,79.3,74.3,66.3,96,
1,22029,00-0022029,NFL,COX774115,https://static.www.nfl.com/image/private/{formatInstructions}/league/ihfzajuioe6dkueszwwr,Torrie Cox,Torrie Cox,DB,Tampa Bay Buccaneers,TB,4900,4900,,,,NOR,4900,TB,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,,,,,#A71930,NFC,Pittsburgh,-,-,,,,,4.55,-,6.98,32.0,119,,70,192,8.875,,29.500,61.0,59.8,58.2,58.0,56,
1,19281,00-0019281,NFL,FUR643990,https://static.www.nfl.com/image/private/{formatInstructions}/league/patqamlgpnc1wqd2ijh8,Mike Furrey,Mike Furrey,WR,Cleveland Browns,CLE,1050,1050,,,,NOR,1050,CLE,Browns,Cleveland,Cleveland Browns,,,,,#FF3C00,AFC,Northern Iowa,-,-,,,,,-,-,-,-,,,72,192,-,,-,-,-,-,-,94,
1,21981,00-0021981,NFL,MCD549659,https://static.www.nfl.com/image/private/{formatInstructions}/league/sd1rdixhcutyp2epoc95,Shaun McDonald,Shaun McDonald,WR,Pittsburgh Steelers,PIT,3900,3900,,,,NOR,3900,PIT,Steelers,Pittsburgh,Pittsburgh Steelers,,,,,#000000,AFC,Arizona State,-,-,,,,,4.43,-,-,-,,,70,183,8.750,,29.500,75.1,72.2,82.2,58.5,88,
1,22002,00-0022002,NFL,PET336351,https://static.www.nfl.com/image/private/{formatInstructions}/league/w1x35kpwzczl5k5cxfk7,Kenny Peterson,Kenny Peterson,DE,Denver Broncos,DEN,1400,1400,,,,NOR,1400,DEN,Broncos,Denver,Denver Broncos,,,,,#FC4C02,AFC,Ohio State,-,-,,,,,4.80,-,-,-,,,75,295,10.250,,32.250,74.1,78.5,67.2,69.1,76,
1,22913,00-0022913,NFL,CAR504211,https://static.www.nfl.com/image/private/{formatInstructions}/league/gblcsii6imihavtdeuj3,Ahmad Carroll,Ahmad Carroll,DB,New York Jets,NYJ,3430,3430,,,,NOR,3430,NYJ,Jets,New York,New York Jets,,,,,#115740,AFC,Arkansas,-,-,,,,,4.34,1.53,-,41.0,128,15,70,190,9.750,,31.000,84.8,88.4,81.5,68.7,57,
1,22011,00-0022011,NFL,GRI440073,https://static.www.nfl.com/image/private/{formatInstructions}/league/y5kimydkyoic29zr8s2z,Justin Griffith,Justin Griffith,FB,Seattle Seahawks,SEA,4600,4600,,,,NOR,4600,SEA,Seahawks,Seattle,Seattle Seahawks,,,,,#002244,NFC,Mississippi State,-,-,,,,,4.59,1.65,7.73,32.0,113,29,72,230,9.500,,30.500,-,-,-,-,96,
1,25841,00-0025841,NFL,RAN653214,https://static.www.nfl.com/image/private/{formatInstructions}/league/jq36zkkaw3jtrhscqeix,Louis Rankin,Louis Rankin,RB,Seattle Seahawks,SEA,4600,4600,,,,NOR,4600,SEA,Seahawks,Seattle,Seattle Seahawks,,,,,#002244,NFC,Washington,-,-,,,,,-,-,-,-,,,73,205,-,,-,-,-,-,-,9,
1,26626,00-0026626,NFL,LOV115782,https://static.www.nfl.com/image/private/{formatInstructions}/league/pvlu4tjxfffyksusldqp,Jamar Love,Jamar Love,DB,Tennessee Titans,TEN,2100,2100,,,,NOR,2100,TEN,Titans,Tennessee,Tennessee Titans,,,,,#002244,AFC,Arkansas,-,-,,,,,-,-,-,-,,,72,190,-,,-,-,-,-,-,0,
1,26927,00-0026927,NFL,TEE142072,https://static.www.nfl.com/image/private/{formatInstructions}/league/qef9jvu1pbldrrjqdhsd,Mike Teel,Mike Teel,QB,Seattle Seahawks,SEA,4600,4600,,,,NOR,4600,SEA,Seahawks,Seattle,Seattle Seahawks,,,,,#002244,NFC,Rutgers,-,-,,,,,-,-,-,-,,,75,230,-,,-,-,-,-,-,0,
