Rank,playerId,league,playerImageId,headshotUrl,player,playerFullName,position,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamImageId,lastNFLTeamId,lastNFLTeamAbbrev,lastNFLTeamName,lastNFLTeamLocation,lastNFLTeamFullName,inFBS,inFCS,activeFBSTeam,activeFCSTeam,teamColor,gameConference,College,pro_day_40,pro_day_10_split,pro_day_3_cone,pro_day_vertical,pro_day_broad,pro_day_bench,combine_40,combine_10_split,combine_3_cone,combine_vertical,combine_broad,combine_bench,height,weight,hand_size,wing_span,arm_length,CmbnScr,AthleteScr,ProdScr,SizeScr,G,null
1,100170461,NCAA,100170461,,Cam Hill,Cam Hill,DB,Louisiana Tech Bulldogs,LAT,100000208,LATC,,,,,,true,,,,#002F8B,C-USA,Louisiana Tech,-,-,,,,,-,-,-,-,,,74,201,-,,-,-,-,-,-,11,
1,100170462,NCAA,100170462,,Ja'Marion Kennedy,Ja'Marion Kennedy,OL,Wake Forest Demon Deacons,WF,100000339,NCWF,,,,,,true,,,,#9E7E38,ACC,Wake Forest,-,-,,,,,-,-,-,-,,,75,323,-,,-,-,-,-,-,11,
1,100170463,NCAA,100170463,,Dedrick Latulas,Dedrick Latulas,WR,Louisiana Tech Bulldogs,LAT,100000208,LATC,,,,,,true,,,,#002F8B,C-USA,Louisiana Tech,-,-,,,,,-,-,-,-,,,67,165,-,,-,-,-,-,-,13,
1,100170464,NCAA,100170464,,Obinna Okeke,Obinna Okeke,DL,New Mexico State Aggies,NMSU,100000242,NMST,,,,,,true,,,,#221E1F,C-USA,New Mexico State,-,-,,,,,-,-,-,-,,,75,246,-,,-,-,-,-,-,12,
1,100170466,NCAA,100170466,,Michael Richard,Michael Richard,DB,Louisiana Tech Bulldogs,LAT,100000208,LATC,,,,,,true,,,,#002F8B,C-USA,Louisiana Tech,-,-,,,,,-,-,-,-,,,71,185,-,,-,-,-,-,-,12,
1,100170469,NCAA,100170469,,Jadon Smith,Jadon Smith,OL,Louisiana Tech Bulldogs,LAT,100000208,LATC,,,,,,true,,,,#002F8B,C-USA,Louisiana Tech,-,-,,,,,-,-,-,-,,,74,298,-,,-,-,-,-,-,0,
1,100170470,NCAA,100170470,,Troy Smith III,Troy Smith III,OL,Louisiana Tech Bulldogs,LAT,100000208,LATC,,,,,,true,,,,#002F8B,C-USA,Louisiana Tech,-,-,,,,,-,-,-,-,,,75,301,-,,-,-,-,-,-,13,
1,100175541,NCAA,100175541,,Toddrick Brewton,Toddrick Brewton,LB,Florida International Golden Panthers,FIU,100000166,FLIN,,,,,,true,,,,#C5960B,C-USA,Florida International,-,-,,,,,-,-,-,-,,,77,250,-,,-,-,-,-,-,7,
1,100175543,NCAA,100175543,,Jaheim Buchanon,Jaheim Buchanon,OL,Florida International Golden Panthers,FIU,100000166,FLIN,,,,,,true,,,,#C5960B,C-USA,Florida International,-,-,,,,,-,-,-,-,,,76,300,-,,-,-,-,-,-,13,
1,100175545,NCAA,100175545,,Mister Clark,Mister Clark,DB,Florida International Golden Panthers,FIU,100000166,FLIN,,,,,,true,,,,#C5960B,C-USA,Florida International,-,-,,,,,-,-,-,-,,,72,185,-,,-,-,-,-,-,12,
1,100175546,NCAA,100175546,,Jordan Clemons,Jordan Clemons,RB,Florida International Golden Panthers,FIU,100000166,FLIN,,,,,,true,,,,#C5960B,C-USA,Florida International,-,-,,,,,-,-,-,-,,,68,170,-,,-,-,-,-,-,1,
1,100175548,NCAA,100175548,,Jose Corbo,Jose Corbo,RB,Florida International Golden Panthers,FIU,100000166,FLIN,,,,,,true,,,,#C5960B,C-USA,Florida International,-,-,,,,,-,-,-,-,,,72,190,-,,-,-,-,-,-,13,
1,100175550,NCAA,100175550,,Semaj Demps,Semaj Demps,WR,Florida International Golden Panthers,FIU,100000166,FLIN,,,,,,true,,,,#C5960B,C-USA,Florida International,-,-,,,,,-,-,-,-,,,67,160,-,,-,-,-,-,-,9,
