player,position,college,cmbn_score,athlete_score,prod_score,name_norm,pos_group
Jeremiah Williams,DB,Rice,60.8,71,52,jeremiah williams,CB
Domani Jackson,DB,Alabama,71.8,79,65.1,domani jackson,CB
Desmond Reid,RB,Pittsburgh,72,73.9,76.6,desmond reid,RB
Jadarian Price,RB,Notre Dame,75.8,74.1,73.2,jadarian price,RB
Jeff Caldwell,WR,Cincinnati,77.7,99,67.8,jeff caldwell,WR
Kevin Coleman Jr.,WR,Missouri,66.7,66.5,64.2,kevin coleman,WR
Jeremiyah Love,RB,Notre Dame,94.3,83.4,95.9,jeremiyah love,RB
Zachariah Branch,WR,Georgia,79.5,85,71.8,zachariah branch,WR
Makai Lemon,WR,USC,84.7,69.8,90.7,makai lemon,WR
Ja'Kobi Lane,WR,USC,74.5,79.1,68.4,ja'kobi lane,WR
KC Concepcion,WR,Texas A&M,77.2,71.4,74.5,kc concepcion,WR
Brandon Cisse,DB,South Carolina,75.5,69.7,74.2,brandon cisse,CB
Bishop Fitzgerald,DB,USC,77.1,72.4,77.4,bishop fitzgerald,CB
Spencer Fano,OL,Utah,90.9,90,85.2,spencer fano,IOL
Dallen Bentley,TE,Utah,74.6,80.6,68.5,dallen bentley,TE
Caleb Lomu,OL,Utah,81.3,88.5,76,caleb lomu,IOL
Keith Abney II,DB,Arizona State,72.5,61.3,74,keith abney,CB
Max Iheanachor,OL,Arizona State,77.2,89.7,61.9,max iheanachor,IOL
Rueben Bain Jr.,DL,Miami (FL),84.5,68.4,92.5,rueben bain,DL
Francis Mauigoa,OL,Miami (FL),76.6,73.2,71.2,francis mauigoa,IOL
Dillon Thieneman,DB,Oregon,80.5,86.4,76.9,dillon thieneman,CB
Skyler Gill-Howard,DL,Texas Tech,66.6,75.8,67.6,skyler gill-howard,DL
Rahsul Faison,RB,South Carolina,64.9,72.7,56.8,rahsul faison,RB
Anthony Hill Jr.,LB,Texas,80.7,84,71.7,anthony hill,LB
Malik Muhammad,DB,Texas,73.2,75.8,69.8,malik muhammad,CB
Keldric Faulk,DL,Auburn,78.3,75.8,72.5,keldric faulk,DL
Colton Hood,DB,Tennessee,81.6,82.1,75.9,colton hood,CB
Connor Lew,OL,Auburn,74.7,73,70.1,connor lew,IOL
Bobby Jamison-Travis,DL,Auburn,64.9,68,60.1,bobby jamison-travis,DL
Kenyon Sadiq,TE,Oregon,93.1,94.6,80.1,kenyon sadiq,TE
Kayden McDonald,DL,Ohio State,73.1,67.3,72.6,kayden mcdonald,DL
Arvell Reese,LB,Ohio State,84.2,78.1,83.8,arvell reese,LB
Carnell Tate,WR,Ohio State,77.4,65.3,77.7,carnell tate,WR
Joey Aguilar,QB,Tennessee,71.9,74.2,72.4,joey aguilar,QB
