pos_group,fa_median_apy_cap_pct,fa_mean_apy_cap_pct,fa_n,fa_top_n
CB,0.08199999999999999,0.07831182795698925,93,3
DL,0.075,0.07354545454545455,110,4
EDGE,0.091,0.0877927927927928,111,4
IOL,0.051,0.045396135265700494,207,8
LB,0.061,0.06255056179775281,89,3
OT,0.08149999999999999,0.080625,80,3
QB,0.146,0.14710309278350517,97,3
RB,0.06,0.06096842105263158,95,3
S,0.053,0.049594339622641516,106,4
TE,0.048,0.04693939393939394,99,4
WR,0.079,0.07768292682926829,123,4
