pos_group,tier,n,hits,hit_rate
CB,Top 10,16,9,0.5625
CB,Late 1st,52,16,0.3076923076923077
CB,Round 2,74,17,0.22972972972972974
CB,Round 3,81,5,0.06172839506172839
CB,Rounds 4-7,398,13,0.032663316582914576
DL,Top 10,9,8,0.8888888888888888
DL,Late 1st,47,18,0.3829787234042553
DL,Round 2,52,8,0.15384615384615385
DL,Round 3,62,7,0.11290322580645161
DL,Rounds 4-7,210,3,0.014285714285714285
EDGE,Top 10,25,13,0.52
EDGE,Late 1st,53,16,0.3018867924528302
EDGE,Round 2,56,9,0.16071428571428573
EDGE,Round 3,66,5,0.07575757575757576
EDGE,Rounds 4-7,241,6,0.024896265560165973
IOL,Top 10,6,3,0.5
IOL,Late 1st,42,25,0.5952380952380952
IOL,Round 2,54,27,0.5
IOL,Round 3,74,19,0.25675675675675674
IOL,Rounds 4-7,274,12,0.043795620437956206
LB,Top 10,8,4,0.5
LB,Late 1st,24,8,0.3333333333333333
LB,Round 2,45,13,0.28888888888888886
LB,Round 3,57,12,0.21052631578947367
LB,Rounds 4-7,257,7,0.027237354085603113
OT,Top 10,24,19,0.7916666666666666
OT,Late 1st,31,16,0.5161290322580645
OT,Round 2,30,11,0.36666666666666664
OT,Round 3,31,5,0.16129032258064516
OT,Rounds 4-7,121,5,0.04132231404958678
QB,Top 10,35,25,0.7142857142857143
QB,Late 1st,16,5,0.3125
QB,Round 2,14,4,0.2857142857142857
QB,Round 3,22,1,0.045454545454545456
QB,Rounds 4-7,101,2,0.019801980198019802
RB,Top 10,9,7,0.7777777777777778
RB,Late 1st,14,5,0.35714285714285715
RB,Round 2,41,19,0.4634146341463415
RB,Round 3,41,11,0.2682926829268293
RB,Rounds 4-7,251,10,0.0398406374501992
S,Top 10,3,2,0.6666666666666666
S,Late 1st,17,9,0.5294117647058824
S,Round 2,35,18,0.5142857142857142
S,Round 3,27,5,0.18518518518518517
S,Rounds 4-7,106,8,0.07547169811320754
TE,Top 10,4,4,1
TE,Late 1st,10,5,0.5
TE,Round 2,32,11,0.34375
TE,Round 3,32,6,0.1875
TE,Rounds 4-7,152,15,0.09868421052631579
WR,Top 10,21,12,0.5714285714285714
WR,Late 1st,45,18,0.4
WR,Round 2,75,19,0.25333333333333335
WR,Round 3,75,13,0.17333333333333334
WR,Rounds 4-7,295,12,0.04067796610169491
