pos_group,tier,n,hit_rate,mean_player_return,mean_second_contract,sd_player_return,sd_second_contract,elite_prob,fa_replacement,sharpe_linear,sharpe_elite
CB,Top 10,15,0.5333333333333333,0.21757118492247543,0.06466666666666666,0.09859283189229315,0.043856367295763934,0.06666666666666667,0.08199999999999999,-0.39522957331232367,-0.6077512429479659
CB,Late 1st,43,0.3023255813953488,0.2447686898490552,0.04055813953488372,0.12960038904823332,0.03647197379696818,0.27906976744186046,0.08199999999999999,-1.1362659091557372,0.08046471267687343
CB,Round 2,56,0.19642857142857142,0.21585280095726714,0.026571428571428572,0.13425559400628198,0.029192687218085746,0.23214285714285715,0.08199999999999999,-1.8987142572552127,-0.038091475434602076
CB,Round 3,64,0.078125,0.1404752660710031,0.015,0.13550281177876156,0.022432261348476416,0.125,0.08199999999999999,-2.986769766952211,-0.2996236181936407
CB,Rounds 4-7,321,0.037383177570093455,0.08403280958914276,0.007894080996884736,0.11046881907033992,0.015859184913037557,0.04672897196261682,0.08199999999999999,-4.672744495348817,-0.6021907924538343
DL,Top 10,7,0.8571428571428571,0.24033550288014047,0.092,0.09746582768286706,0.03574912586343896,0.14285714285714285,0.075,0.47553610303479044,-0.2840537572894559
DL,Late 1st,34,0.4411764705882353,0.2676751194756089,0.05235294117647059,0.09702226204227923,0.0405895062964601,0.29411764705882354,0.075,-0.5579535424283915,0.23099991956812158
DL,Round 2,35,0.14285714285714285,0.19241538209961906,0.02882857142857143,0.12108275943506623,0.03016570483014046,0.14285714285714285,0.075,-1.5305933950960025,-0.22864968299216984
DL,Round 3,52,0.09615384615384616,0.19239794176558492,0.026403846153846153,0.11376169868763,0.028619381623733366,0.1346153846153846,0.075,-1.6980155086877986,-0.2673590110726486
DL,Rounds 4-7,159,0.018867924528301886,0.09696192320078025,0.010742138364779875,0.09585045534352304,0.017008640334587807,0.025157232704402517,0.075,-3.7779540498924526,-0.695540700768399
EDGE,Top 10,22,0.5,0.2759164027414699,0.07104545454545455,0.11102251619948578,0.05607093914364389,0.36363636363636365,0.091,-0.35588035012977776,0.265142802793857
EDGE,Late 1st,45,0.35555555555555557,0.3206994237385229,0.05337777777777778,0.1193131770863704,0.04270953102533485,0.4888888888888889,0.091,-0.8808858659652598,0.5944072297042816
EDGE,Round 2,48,0.16666666666666666,0.23994767296480463,0.0296875,0.13876474117717513,0.03148532670740992,0.2708333333333333,0.091,-1.9473356770209531,-0.00936591860581865
EDGE,Round 3,55,0.09090909090909091,0.1766424081949946,0.018836363636363637,0.14428922465818025,0.028740063427056754,0.14545454545454545,0.091,-2.5109073453087567,-0.29680159176202814
